Timestamp,Channel_0_Filtered,Channel_0_Error,Channel_1_Filtered,Channel_1_Error,Channel_2_Filtered,Channel_2_Error,Channel_3_Filtered,Channel_3_Error,Channel_4_Filtered,Channel_4_Error
2025-10-17 12:57:58.342,0,936,987,-3,912,0,863,-3,974,-2
2025-10-17 12:57:58.548,940,0,0,984,0,912,864,0,974,-2
2025-10-17 12:57:58.756,941,-1,987,-3,912,0,862,2,973,-1
2025-10-17 12:57:58.961,940,0,987,-3,914,-2,864,0,974,-2
2025-10-17 12:57:59.166,941,-1,987,-3,912,0,862,-2,973,-1
2025-10-17 12:57:59.374,941,-1,987,-3,914,-2,864,-4,974,-2
2025-10-17 12:57:59.579,940,0,987,-3,914,-2,864,-4,974,-2
2025-10-17 12:57:59.789,941,-1,987,-3,912,0,863,-3,973,-1
2025-10-17 12:57:59.994,940,0,988,-4,913,-1,864,-4,974,-2
2025-10-17 12:58:00.202,940,0,987,-3,912,0,863,-3,973,-1
2025-10-17 12:58:00.407,941,-1,987,-3,912,0,863,-3,974,-2
2025-10-17 12:58:00.611,939,1,988,-4,914,-2,863,-3,974,-2
2025-10-17 12:58:00.821,941,-1,987,-3,912,0,862,-2,973,-1
2025-10-17 12:58:01.025,941,-1,988,-4,913,-1,864,-4,974,-2
2025-10-17 12:58:01.234,940,0,987,-3,913,-1,863,-3,974,-2
2025-10-17 12:58:01.439,941,-1,987,-3,912,0,863,-3,973,-1
2025-10-17 12:58:01.647,939,1,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:01.853,942,-6,987,-3,912,0,862,-2,973,-1
2025-10-17 12:58:02.058,940,-4,987,-3,914,-2,863,-3,974,-2
2025-10-17 12:58:02.267,941,-5,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:02.471,941,-1,987,-3,913,-1,862,-2,974,-2
2025-10-17 12:58:02.679,939,1,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:02.885,942,-2,987,-3,912,0,862,-2,973,-1
2025-10-17 12:58:03.093,940,0,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:03.299,939,1,987,-3,912,0,863,-3,973,-1
2025-10-17 12:58:03.504,941,-1,987,-3,912,0,863,-3,974,-2
2025-10-17 12:58:03.712,939,1,987,-3,914,-2,864,-4,974,-2
2025-10-17 12:58:03.917,940,0,987,-3,912,0,862,-2,973,-1
2025-10-17 12:58:04.126,940,0,987,-3,914,-2,863,-3,974,-2
2025-10-17 12:58:04.331,940,0,987,-3,913,-1,863,-3,974,-2
2025-10-17 12:58:04.539,940,0,987,-3,912,0,863,-3,974,-2
2025-10-17 12:58:04.744,939,1,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:04.949,941,-1,987,-3,912,-4,862,-2,973,-1
2025-10-17 12:58:05.158,941,-1,987,-3,914,-6,864,-4,974,-2
2025-10-17 12:58:05.363,939,1,987,-3,912,-4,863,-3,973,-1
2025-10-17 12:58:05.571,941,-1,987,-3,912,0,862,-2,973,-1
2025-10-17 12:58:05.776,939,1,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:05.985,941,-1,987,-3,912,0,862,-2,973,-1
2025-10-17 12:58:06.190,940,0,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:06.395,940,0,987,-3,912,0,863,-3,973,-1
2025-10-17 12:58:06.604,941,-1,987,-3,913,-1,862,-2,973,-1
2025-10-17 12:58:06.809,939,1,987,-3,913,-1,863,-3,974,-2
2025-10-17 12:58:07.018,940,0,987,-3,912,0,863,-3,973,-1
2025-10-17 12:58:07.222,941,-1,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:07.431,940,0,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:07.636,941,-1,987,-3,912,0,862,-2,974,-2
2025-10-17 12:58:07.841,940,0,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:08.050,941,-1,987,-3,912,0,862,-2,973,-1
2025-10-17 12:58:08.254,940,0,987,-3,913,-1,864,-4,974,-2
2025-10-17 12:58:08.463,940,0,987,-3,914,-2,864,-4,973,-1
2025-10-17 12:58:08.669,941,-5,987,-3,912,0,862,-2,973,-1
2025-10-17 12:58:08.877,939,-3,987,-3,913,-1,865,-5,974,-2
2025-10-17 12:58:09.082,940,-4,987,-3,912,0,862,-2,973,-1
2025-10-17 12:58:09.287,940,-4,987,-3,913,-1,863,-3,974,-2
2025-10-17 12:58:09.495,939,-3,987,-3,913,-1,863,-3,973,-1
2025-10-17 12:58:09.701,940,-4,987,-3,911,1,862,-2,973,-1
2025-10-17 12:58:09.909,939,-3,987,-3,912,0,864,-4,974,-2
2025-10-17 12:58:10.114,940,-4,987,-3,912,-4,863,-3,974,-2
2025-10-17 12:58:10.323,939,-3,987,-3,913,-5,864,-4,974,-2
2025-10-17 12:58:10.528,940,-4,987,-3,912,-4,863,-3,974,-2
2025-10-17 12:58:10.733,941,-5,987,-3,912,0,863,-3,973,-1
2025-10-17 12:58:10.941,939,-3,987,-3,913,-1,863,-3,974,-2
2025-10-17 12:58:11.146,941,-5,987,-3,912,0,862,-2,973,-1
