Timestamp,Channel_0_Filtered_Avg,Channel_0_Error_Avg,Channel_1_Filtered_Avg,Channel_1_Error_Avg,Channel_2_Filtered_Avg,Channel_2_Error_Avg,Channel_3_Filtered_Avg,Channel_3_Error_Avg,Channel_4_Filtered_Avg,Channel_4_Error_Avg,Target_Grid_X,Target_Grid_Y
2025-11-14 19:25:09.766,907.36,36.64,839.68,32.32,732.92,30.92,885.28,34.72,931.4,36.6,0,0
2025-11-14 19:25:11.254,945.08,-1.08,874.4,-2.4,763.24,0.76,922.04,-2.04,970.08,-2.08,1,0
2025-11-14 19:25:13.321,945.08,-1.08,874.36,-2.36,762.88,1.12,922.0,-2.0,970.12,-2.12,2,0
2025-11-14 19:25:14.616,945.04,-1.04,874.36,-2.36,763.36,-3.36,922.0,-2.0,969.88,-1.88,3,0
2025-11-14 19:25:15.697,945.0,-1.0,874.4,-2.4,762.96,-2.96,922.04,-2.04,970.04,-2.04,4,0
2025-11-14 19:25:16.663,944.88,-0.88,874.12,-2.12,763.0,-3.0,921.96,-1.96,969.96,-1.96,5,0
2025-11-14 19:25:17.524,944.92,-0.92,874.24,-2.24,763.12,-3.12,922.0,-2.0,969.96,-1.96,6,0
2025-11-14 19:25:18.413,944.96,-0.96,874.32,-2.32,763.12,-3.12,921.92,-1.92,969.92,-1.92,7,0
2025-11-14 19:25:19.280,944.96,-0.96,874.36,-2.36,763.04,-3.04,922.0,-2.0,969.96,-1.96,8,0
2025-11-14 19:25:20.313,944.88,-0.88,874.16,-2.16,762.72,-2.72,922.0,-2.0,969.96,-1.96,9,0
2025-11-14 19:25:21.346,945.0,-1.0,874.32,-2.32,763.0,-3.0,921.96,-1.96,970.04,-2.04,10,0
2025-11-14 19:25:22.259,944.96,-0.96,874.32,-2.32,763.44,-3.44,921.96,-1.96,970.0,-2.0,11,0
2025-11-14 19:25:23.315,944.96,-0.96,874.24,-2.24,763.16,0.04,921.92,-1.92,969.96,-1.96,12,0
2025-11-14 19:25:24.277,944.96,-0.96,874.4,-2.4,763.08,0.92,921.96,-1.96,970.04,-2.04,13,0
2025-11-14 19:25:25.188,945.0,-1.0,874.28,-2.28,763.28,0.72,922.0,-2.0,969.96,-1.96,14,0
2025-11-14 19:25:26.199,944.96,-0.96,874.32,-2.32,763.04,0.96,922.0,-2.0,970.04,-2.04,14,1
2025-11-14 19:25:27.064,944.88,-0.88,874.08,-2.08,762.96,-2.96,922.0,-2.0,969.96,-1.96,13,1
2025-11-14 19:25:28.101,944.96,-0.96,874.24,-2.24,762.84,-2.84,922.0,-2.0,969.92,-1.92,12,1
2025-11-14 19:25:29.058,944.96,-0.96,874.4,-2.4,763.52,-3.52,922.0,-2.0,970.04,-2.04,11,1
2025-11-14 19:25:29.947,944.92,-0.92,874.24,-2.24,763.0,-3.0,922.0,-2.0,969.96,-1.96,10,1
2025-11-14 19:25:30.860,945.0,-1.0,874.28,-2.28,762.84,-2.84,922.0,-2.0,970.04,-2.04,9,1
2025-11-14 19:25:31.749,944.92,-0.92,874.28,-2.28,762.96,-2.96,921.96,-1.96,969.96,-1.96,8,1
2025-11-14 19:25:32.662,944.92,-0.92,874.24,-2.24,762.84,-2.84,921.96,-1.96,969.92,-1.92,7,1
2025-11-14 19:25:33.527,945.0,-1.0,874.36,-2.36,763.32,-3.32,922.0,-2.0,969.96,-1.96,6,1
