Timestamp,Channel_0_Filtered_Avg,Channel_0_Error_Avg,Channel_1_Filtered_Avg,Channel_1_Error_Avg,Channel_2_Filtered_Avg,Channel_2_Error_Avg,Channel_3_Filtered_Avg,Channel_3_Error_Avg,Channel_4_Filtered_Avg,Channel_4_Error_Avg,Target_Grid_X,Target_Grid_Y
2025-11-16 01:03:16.230,952.64,-0.64,929.6,-1.6,951.0,-3.0,961.0,-1.0,977.0,-1.0,0,0
2025-11-16 01:07:55.590,945.8,2.2,928.0,-4.0,951.88,0.12,961.0,-1.0,972.08,-4.08,1,0
2025-11-16 01:07:59.671,948.16,-0.16,927.52,-3.52,951.8,-3.8,961.0,-1.0,969.28,-1.28,2,0
2025-11-16 01:08:02.794,949.4,-1.4,927.24,-3.24,951.8,-3.8,961.0,-1.0,964.56,3.44,3,0
2025-11-16 01:08:05.218,949.88,-1.88,927.04,-3.04,951.72,-3.72,961.0,-1.0,965.0,3.0,4,0
2025-11-16 01:08:07.574,950.64,-1.8,927.12,-3.12,951.72,-3.72,961.0,-1.0,962.92,5.08,5,0
2025-11-16 01:08:09.445,950.0,-2.0,927.0,-3.0,951.72,-3.72,961.0,-1.0,963.32,4.68,6,0
2025-11-16 01:08:11.919,950.0,-2.0,927.08,-3.08,951.56,-3.56,961.0,-1.0,964.24,3.76,7,0
2025-11-16 01:08:14.106,950.08,-2.08,927.0,-3.0,951.52,-3.52,961.0,-1.0,964.52,-0.52,8,0
2025-11-16 01:08:16.756,950.04,-2.04,927.04,-3.04,951.6,-3.6,961.0,-1.0,963.68,0.32,9,0
2025-11-16 01:08:18.861,950.28,-2.28,927.0,-3.0,951.76,-3.76,961.0,-1.0,963.28,0.72,10,0
2025-11-16 01:08:21.122,950.08,-2.08,927.0,-3.0,951.64,-3.64,960.08,-0.08,964.08,-4.08,11,0
2025-11-16 01:08:22.945,950.16,-2.16,926.92,-2.92,951.68,-3.68,960.0,0.0,965.52,-1.52,12,0
2025-11-16 01:08:25.683,950.44,-2.44,927.0,-3.0,951.84,-3.84,959.0,-3.0,966.64,-2.64,13,0
2025-11-16 01:08:28.687,950.64,-2.64,927.04,-3.04,951.92,-3.92,956.48,-0.48,971.28,-7.28,14,0
2025-11-16 01:08:34.576,950.08,-2.08,927.04,-3.04,951.64,-3.64,956.04,-4.04,972.0,-8.0,14,1
2025-11-16 01:08:38.829,950.2,-2.2,927.0,-3.0,951.84,-3.84,958.96,-2.96,969.88,-1.88,13,1
2025-11-16 01:08:41.953,950.04,-2.04,927.08,-3.08,951.52,-3.52,960.0,-4.0,969.32,-1.32,12,1
2025-11-16 01:08:44.715,949.96,-1.96,927.04,-3.04,951.4,-3.4,960.0,-4.0,967.6,-3.6,11,1
2025-11-16 01:08:47.933,949.96,-1.96,927.08,-3.08,951.28,-3.28,960.44,-4.44,967.12,-3.12,10,1
2025-11-16 01:08:50.121,950.0,-2.0,927.12,-3.12,951.44,-3.44,961.0,-1.0,966.44,-2.44,9,1
2025-11-16 01:08:52.476,950.0,-2.0,927.2,-3.2,951.56,-3.56,961.0,-1.0,965.92,-1.92,8,1
2025-11-16 01:08:54.926,949.96,-1.96,927.12,-3.12,951.6,-3.6,961.0,-1.0,965.52,-1.52,7,1
2025-11-16 01:08:57.641,949.24,-1.24,927.28,-3.28,951.56,-3.56,961.0,-1.0,966.56,-2.56,6,1
2025-11-16 01:09:00.380,949.0,-1.0,927.2,-3.2,951.48,-3.48,961.0,-1.0,967.0,-3.0,5,1
2025-11-16 01:09:02.948,948.4,-0.4,927.32,-3.32,951.4,-3.4,961.0,-1.0,968.44,-4.44,4,1
2025-11-16 01:09:06.049,947.88,-3.88,927.2,-3.2,951.44,-3.44,961.0,-1.0,968.96,-0.96,3,1
2025-11-16 01:09:08.474,945.88,-1.88,927.28,-3.28,951.72,-3.72,961.0,-1.0,972.12,-3.48,2,1
2025-11-16 01:09:11.381,933.68,10.32,927.28,-3.28,951.64,-3.64,961.0,-1.0,974.08,-2.08,1,1
2025-11-16 01:09:41.897,941.24,-1.24,924.96,-0.96,951.84,-3.84,960.0,0.0,972.44,-0.44,0,1
2025-11-16 01:09:45.856,938.28,-1.64,925.12,-1.12,951.88,-3.88,960.16,-0.16,974.04,-2.04,0,2
2025-11-16 01:10:03.018,938.36,-2.36,926.32,-2.32,951.08,-3.08,960.96,-0.96,974.0,-2.0,1,2
2025-11-16 01:10:07.946,944.12,-8.12,926.16,-2.16,951.12,-3.12,960.8,-0.8,972.2,-0.2,2,2
2025-11-16 01:10:11.406,947.52,-11.52,926.32,-2.32,951.0,-3.0,960.32,-0.32,970.28,-2.28,3,2
2025-11-16 01:10:14.080,949.0,-13.0,926.44,-2.44,950.76,-2.76,960.08,-0.08,969.56,-1.56,4,2
2025-11-16 01:10:16.411,949.56,-13.56,926.08,-2.08,950.68,-2.68,960.0,0.0,968.96,-0.96,5,2
2025-11-16 01:10:18.820,950.0,-14.0,925.96,-1.96,950.72,-2.72,960.0,0.0,967.2,-3.2,6,2
2025-11-16 01:10:21.755,950.04,-14.04,926.0,-2.0,950.52,-2.52,960.0,0.0,966.96,-2.96,7,2
2025-11-16 01:10:24.136,950.28,-14.28,926.0,-2.0,950.36,-2.36,959.72,0.28,967.6,-3.6,8,2
2025-11-16 01:10:26.471,950.6,-14.6,926.16,-2.16,950.08,-2.08,959.0,-3.0,968.64,-3.68,9,2
2025-11-16 01:10:29.217,950.96,-14.96,926.32,-2.32,950.72,-2.72,959.0,-3.0,966.2,1.48,10,2
2025-11-16 01:10:31.623,950.8,-14.8,926.24,-2.24,950.52,-2.52,958.0,-2.0,969.32,-1.32,11,2
2025-11-16 01:10:33.884,950.92,-14.92,926.04,-2.04,950.24,-2.24,957.0,-1.0,970.36,-2.36,12,2
2025-11-16 01:10:38.315,949.0,-13.0,925.92,-1.92,951.0,-3.0,958.0,-2.0,971.36,-3.36,13,2
2025-11-16 01:10:41.539,949.16,-13.16,925.88,-1.88,951.08,-3.08,953.96,-0.84,973.0,-2.12,14,2
2025-11-16 01:11:31.594,949.24,-1.08,925.92,0.0,954.92,-2.92,953.12,2.88,966.12,5.88,14,3
2025-11-16 01:11:35.148,949.04,-1.04,924.28,-0.28,954.8,-2.8,957.0,-1.0,966.68,5.32,13,3
2025-11-16 01:11:37.574,949.0,-1.0,924.6,-0.6,954.52,-2.52,959.0,-3.0,965.88,2.12,12,3
2025-11-16 01:11:40.456,948.96,-0.96,924.68,-0.68,954.4,-2.4,959.36,-3.36,966.0,2.0,11,3
2025-11-16 01:11:43.386,948.92,-0.92,924.96,-0.96,954.6,-2.6,960.0,-4.0,965.12,2.88,10,3
2025-11-16 01:11:46.077,948.6,-0.6,925.04,-1.04,954.12,-2.12,960.52,-0.52,965.68,2.32,9,3
2025-11-16 01:11:49.845,948.0,0.0,925.16,-1.16,954.12,-2.12,961.0,-1.0,965.44,2.56,8,3
2025-11-16 01:11:52.248,948.0,0.0,925.4,-1.4,954.56,-2.56,961.0,-1.0,965.0,3.0,7,3
2025-11-16 01:11:54.482,947.04,-2.72,925.32,-1.32,954.32,-2.32,961.0,-1.0,965.0,3.0,6,3
2025-11-16 01:11:56.980,947.0,-3.0,925.8,-1.8,954.88,-2.88,961.0,-1.0,965.56,2.44,5,3
2025-11-16 01:11:59.309,945.48,-1.48,925.8,-1.8,954.56,-2.56,961.12,-1.12,966.84,1.16,4,3
2025-11-16 01:12:01.863,943.0,1.0,926.0,-2.0,954.64,-2.64,961.44,-1.44,967.0,-3.0,3,3
2025-11-16 01:12:04.544,938.96,1.04,926.0,-2.0,955.0,-3.0,961.64,-1.64,967.92,-3.92,2,3
2025-11-16 01:12:06.688,934.6,5.4,926.0,-2.0,955.0,-3.0,961.84,-1.84,968.0,-4.0,1,3
2025-11-16 01:12:10.361,927.24,12.76,926.0,-2.0,955.0,-3.0,961.4,-1.4,968.0,-4.0,0,3
2025-11-16 01:12:22.042,932.4,7.6,926.04,-2.04,955.2,-3.2,961.92,-1.92,968.04,-4.04,0,4
2025-11-16 01:12:24.492,938.88,1.12,925.76,-1.76,954.84,-2.84,961.4,-1.4,968.0,-4.0,1,4
2025-11-16 01:12:26.940,940.84,-0.84,925.92,-1.92,954.68,-2.68,961.8,-1.8,968.0,-4.0,2,4
2025-11-16 01:12:29.513,943.88,-7.88,925.76,-1.76,954.08,-2.08,961.56,-1.56,968.0,-4.0,3,4
2025-11-16 01:12:31.626,945.08,-9.08,925.52,-1.52,954.04,-2.04,961.16,-1.16,968.0,-4.0,4,4
2025-11-16 01:12:34.174,946.4,-10.4,925.28,-1.28,954.0,-2.0,961.08,-1.08,967.96,-3.96,5,4
2025-11-16 01:12:36.198,947.32,-11.32,925.2,-1.2,954.2,-2.2,961.04,-1.04,967.84,-3.84,6,4
2025-11-16 01:12:38.315,947.96,-8.12,925.08,-1.08,954.96,-2.96,961.0,-1.0,967.64,-3.64,7,4
2025-11-16 01:12:40.358,948.72,-8.72,925.0,-1.0,960.88,-8.88,961.04,-1.04,967.6,-3.6,8,4
2025-11-16 01:12:42.832,948.28,-8.92,926.52,-1.4,960.88,-4.88,960.48,-0.48,967.52,-3.52,9,4
2025-11-16 01:12:45.282,949.0,-9.0,924.68,-0.68,954.12,-2.12,959.96,-3.96,967.24,-3.24,10,4
2025-11-16 01:12:47.549,949.96,-9.96,924.44,-0.44,954.36,-2.36,958.0,-2.0,967.88,-3.88,11,4
2025-11-16 01:12:49.858,950.0,-10.0,924.36,-0.36,954.8,-2.8,957.04,-1.04,967.92,-3.92,12,4
2025-11-16 01:12:52.260,950.12,-10.12,924.52,-0.52,955.04,-3.04,954.4,1.6,968.0,-4.0,13,4
2025-11-16 01:12:56.206,950.4,-10.4,924.24,-0.24,955.64,-3.64,950.0,2.0,968.0,-4.0,14,4
2025-11-16 01:13:02.804,950.72,-10.72,924.08,-0.08,955.48,-3.48,947.88,4.12,968.0,-4.0,14,5
2025-11-16 01:13:05.805,950.16,-10.16,924.32,-0.32,955.16,-3.16,955.04,-3.04,967.96,-3.96,13,5
2025-11-16 01:13:08.210,950.0,-10.0,924.88,-0.88,955.0,-3.0,958.0,-2.0,967.56,-3.56,12,5
2025-11-16 01:13:15.385,950.0,-10.0,924.88,-0.88,954.88,-2.88,959.04,-3.04,967.24,-3.24,11,5
2025-11-16 01:13:17.523,949.72,-5.72,924.96,-0.96,954.56,-2.56,960.0,-4.0,967.04,-3.04,10,5
2025-11-16 01:13:19.973,949.04,-5.04,925.0,-1.0,954.68,-2.68,960.28,-3.32,967.0,-3.0,9,5
2025-11-16 01:13:22.378,949.0,-5.0,925.12,-1.12,954.92,-2.92,961.0,-1.0,967.0,-3.0,8,5
2025-11-16 01:13:24.925,948.44,-4.44,925.52,-1.52,955.0,-3.0,961.0,-1.0,967.0,-3.0,7,5
2025-11-16 01:13:28.120,947.68,-3.68,925.2,-1.2,954.96,-2.96,961.0,-1.0,967.0,-3.0,6,5
2025-11-16 01:13:30.352,947.0,-3.0,925.76,-1.76,955.0,-3.0,961.48,-1.48,967.52,-3.52,5,5
2025-11-16 01:13:32.539,945.92,-1.92,925.72,-1.72,955.0,-3.0,961.24,-1.24,967.8,-3.8,4,5
2025-11-16 01:13:34.751,943.36,0.64,925.8,-1.8,955.08,-3.08,961.32,-1.32,968.0,-4.0,3,5
2025-11-16 01:13:37.057,941.96,-1.96,925.96,-1.96,955.48,-3.48,961.88,-1.88,968.0,-4.0,2,5
2025-11-16 01:13:39.772,936.56,3.44,925.92,-1.92,955.44,-3.44,961.56,-1.56,968.0,-4.0,1,5
2025-11-16 01:13:42.728,929.28,10.72,925.76,-1.76,955.48,-3.48,961.56,-1.56,968.0,-4.0,0,5
2025-11-16 01:14:16.184,933.6,-1.6,925.92,-1.92,954.92,-2.92,959.08,-3.08,967.0,-3.0,0,6
2025-11-16 01:14:18.758,941.92,-9.92,925.96,-1.96,954.2,-2.2,959.0,-3.0,967.0,-3.0,1,6
2025-11-16 01:14:21.067,946.0,-14.0,926.04,-2.04,954.0,-2.0,959.0,-3.0,967.0,-3.0,2,6
2025-11-16 01:14:50.593,947.04,-11.04,926.0,-2.0,955.08,-3.08,961.32,-1.32,967.36,-3.36,3,6
2025-11-16 01:14:54.566,947.92,-11.92,925.76,-1.76,955.04,-3.04,961.0,-1.0,967.0,-3.0,4,6
2025-11-16 01:14:57.695,948.2,-12.2,925.2,-1.2,954.88,-2.88,961.0,-1.0,967.0,-3.0,5,6
2025-11-16 01:14:59.790,949.0,-13.0,925.08,-1.08,954.68,-2.68,961.0,-1.0,967.0,-3.0,6,6
2025-11-16 01:15:03.037,949.72,-13.72,925.04,-1.04,954.8,-2.8,961.0,-1.0,967.0,-3.0,7,6
2025-11-16 01:15:08.484,948.92,-13.4,926.16,-1.04,954.0,-2.0,960.52,-0.52,967.0,-3.0,8,6
2025-11-16 01:15:10.786,949.96,-13.96,924.88,-0.88,954.0,-2.0,960.0,0.0,967.0,-3.0,9,6
2025-11-16 01:15:13.002,950.0,-14.0,924.68,-0.68,954.0,-2.0,959.0,-2.52,967.0,-3.0,10,6
2025-11-16 01:15:15.262,950.0,-14.0,924.64,-0.64,953.96,-1.96,958.0,-2.0,967.0,-3.0,11,6
2025-11-16 01:15:17.814,950.56,-14.56,924.8,-0.8,954.04,-2.04,957.72,-1.72,967.0,-3.0,12,6
2025-11-16 01:15:19.885,950.88,-14.88,924.68,-0.68,954.2,-2.2,955.96,0.04,967.0,-3.0,13,6
2025-11-16 01:15:22.340,950.96,-14.96,924.68,-0.68,954.32,-2.32,954.96,-2.96,967.0,-3.0,14,6
2025-11-16 01:15:31.748,951.0,-11.0,924.52,-0.52,955.0,-3.0,953.28,-1.92,967.36,-3.36,14,7
