Timestamp,Channel_0_Filtered,Channel_0_Error,Channel_1_Filtered,Channel_1_Error,Channel_2_Filtered,Channel_2_Error,Channel_3_Filtered,Channel_3_Error,Channel_4_Filtered,Channel_4_Error,Mouse_X,Mouse_Y
2025-11-06 02:30:24.040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440,540
2025-11-06 02:30:24.052,885.0,-1.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,918.0,2.0,1439,548
2025-11-06 02:30:24.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1439,556
2025-11-06 02:30:24.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437,565
2025-11-06 02:30:24.076,885.0,-1.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,917.0,3.0,1436,573
2025-11-06 02:30:24.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1434,582
2025-11-06 02:30:24.097,884.0,0.0,13.0,-1.0,947.0,-3.0,13.0,-1.0,917.0,3.0,1431,590
2025-11-06 02:30:24.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428,598
2025-11-06 02:30:24.121,884.0,0.0,13.0,-1.0,947.0,-3.0,13.0,-1.0,917.0,3.0,1424,607
2025-11-06 02:30:24.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420,615
2025-11-06 02:30:24.147,883.0,1.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,916.0,4.0,1416,623
2025-11-06 02:30:24.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411,631
2025-11-06 02:30:24.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1406,639
2025-11-06 02:30:24.171,883.0,1.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,916.0,4.0,1400,647
2025-11-06 02:30:24.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394,654
2025-11-06 02:30:24.196,883.0,1.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,916.0,4.0,1387,662
2025-11-06 02:30:24.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380,670
2025-11-06 02:30:24.219,884.0,0.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,915.0,5.0,1373,677
2025-11-06 02:30:24.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365,684
2025-11-06 02:30:24.240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356,691
2025-11-06 02:30:24.244,884.0,0.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,915.0,5.0,1348,698
2025-11-06 02:30:24.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339,705
2025-11-06 02:30:24.265,884.0,0.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,914.0,6.0,1329,712
2025-11-06 02:30:24.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320,718
2025-11-06 02:30:24.289,884.0,0.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,914.0,6.0,1309,724
2025-11-06 02:30:24.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299,730
2025-11-06 02:30:24.310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288,736
2025-11-06 02:30:24.315,884.0,0.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,913.0,7.0,1277,742
2025-11-06 02:30:24.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265,748
2025-11-06 02:30:24.339,885.0,-1.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,913.0,7.0,1254,753
2025-11-06 02:30:24.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242,758
2025-11-06 02:30:24.363,885.0,-1.0,13.0,-1.0,948.0,-4.0,13.0,-1.0,912.0,8.0,1229,763
2025-11-06 02:30:24.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217,767
